漢字,ひらがな,english
体調,たいちょう,physical condition
症状,しょうじょう,symptoms
調子,ちょうし,condition;state of health
崩す,くずす,to tear down;to demolish
インフルエンザ,インフルエンザ,influenza
罹る*,かかる,to contract (a disease);to suffer from
ウイルス,ウイルス,virus
伝染,でんせん,contagion;infection
骨折,こっせつ,bone fracture
血圧,けつあつ,blood pressure
高血圧,こうけつあつ,high blood pressure;hypertension
溜まる*,たまる,to pile up;to accumulate;to save;to collect;to gather
揉む*,もむ,to rub;to crumple;to massage
白髪,しらが,gray hair;white hair
抜ける,ぬける,to come out;to fall out;to come loose
捻る*,ひねる,to twist;to wrench;to wring
捩る*,ねじる,to screw;to twist
包帯,ほうたい,bandage
巻く,まく,to wear (turband);to roll;to wind;to shroud
効く,きく,to be effective;to take effect;to be good (for)
全身,ぜんしん,whole (body)
震える,ふるえる,to shiver;to shake;to tremble
青白い,あおじろい,pale;palid
苦痛,くつう,pain;agony;bitterness
痺れる*,しびれる,to become numb;to tingle
薬局,やっきょく,pharmacy;drugstore
患者,かんじゃ,patient
診る,みる,to examen (medically)
診察,しんさつ,medical examination
診断,しんだん,medical examination;medical diagnosis
内科,ないか,internal medicine i.e. not surgical procedures
外科,げか,surgery
外科医,げかい,surgeon
看病,かんびょう,nursing (a patient)
這う*,はう,to crawl
凭れる*,もたれる,to lean against;to recline on
しゃがむ,しゃがむ,to squat;to crouch
腰掛ける,こしかける,to sit down
立ち上がる,たちあがる,to stand up
余分,よぶん,excess;extra;surplus
予防,よぼう,prevention;precaution
適度,てきど,moderate (degree);proper (amount)
休養,きゅうよう,rest;break;recuperation;convalescence
消毒,しょうどく,desinfection;sterilization
衛生的,えいせいてき,hygienic;sanitary
徹夜,てつや,stay up all night
睡眠,すいみん,sleep
不足,ふそく,insufficiency;deficiency;shortage
睡眠不足,すいみんふそく,lack of sleep
管理,かんり,control;management
咳,せき,cough
嚔*,くしゃみ,sneeze
吃逆*,しゃっくり,hiccup
欠伸*,あくび,yawn
不規則,ふきそく,irregularity;disorderly
平均寿命,へいきんじゅみょう,life expentancy
美容,びよう,beauty;good figure;(beautiful) appearance
肌,はだ,skin
荒れる,あれる,to be rough (of skin);to be chapped
剃刀*,かみそり,razor
髭,ひげ,moustache;beard;whiskers
剃る,そる,to shave
櫛*,くし,comb
ブラシ,ブラシ,brush
解く,とく,to comb (out);to untangle (hair)
解かす,とかす,to comb (out);to untangle (hair)
高カロリー,こうカロリー,high calories
起き上がる,おきあがる,to erect;to rise;to get up
飛び上がる,とびあがる,to fly up;to spring;to jump up
寝不足,ねぶそく,lack of sleep
運動不足,うんどうぶそく,lack of exercise
平均気温,へいきんきおん,average temperature
平均点,へいきんてん,average mark;mean point
一応,いちおう,just in case;once;more or less;roughly
当分,とうぶん,for the time being
忽ち*,たちまち,in an instant;immediately;right away
今に,いまに,before long;even now
